losses,time_itr,lambda_,step_size,preprocess_time
4583866.483989523,0.03135085105895996,0.01,0.0001,2.3078548908233643
4567822.419387088,0.033477067947387695,0.01,0.0001,2.3078548908233643
4557634.650421664,0.027174949645996094,0.01,0.0001,2.3078548908233643
4499739.973196541,0.029554128646850586,0.01,0.0001,2.3078548908233643
4497313.3262387,0.024367094039916992,0.01,0.0001,2.3078548908233643
4487916.256484201,0.0255281925201416,0.01,0.0001,2.3078548908233643
4481495.511175035,0.025346755981445312,0.01,0.0001,2.3078548908233643
4481237.931104673,0.03517007827758789,0.01,0.0001,2.3078548908233643
4476754.193192493,0.024930953979492188,0.01,0.0001,2.3078548908233643
4470528.774764422,0.02720499038696289,0.01,0.0001,2.3078548908233643
4451072.512380334,0.02561807632446289,0.01,0.0001,2.3078548908233643
4433258.139655754,0.023975849151611328,0.01,0.0001,2.3078548908233643
4409352.156432053,0.02629399299621582,0.01,0.0001,2.3078548908233643
4402820.682508698,0.030333757400512695,0.01,0.0001,2.3078548908233643
4394805.831989824,0.025634050369262695,0.01,0.0001,2.3078548908233643
4398970.3219856,0.025426149368286133,0.01,0.0001,2.3078548908233643
4386896.700949228,0.025838851928710938,0.01,0.0001,2.3078548908233643
4373467.074161852,0.02541518211364746,0.01,0.0001,2.3078548908233643
4366108.660397561,0.025352954864501953,0.01,0.0001,2.3078548908233643
4348215.437863929,0.02853083610534668,0.01,0.0001,2.3078548908233643
4345405.567005675,0.033998966217041016,0.01,0.0001,2.3078548908233643
4314220.098481751,0.02123403549194336,0.01,0.0001,2.3078548908233643
4297142.722548316,0.031059980392456055,0.01,0.0001,2.3078548908233643
4290500.533268553,0.027067899703979492,0.01,0.0001,2.3078548908233643
4264107.0628242325,0.025807857513427734,0.01,0.0001,2.3078548908233643
4260019.339900163,0.020963191986083984,0.01,0.0001,2.3078548908233643
4254349.528148915,0.02453303337097168,0.01,0.0001,2.3078548908233643
4206249.033419466,0.023886919021606445,0.01,0.0001,2.3078548908233643
4201988.008766515,0.023651838302612305,0.01,0.0001,2.3078548908233643
4201123.320995948,0.03344106674194336,0.01,0.0001,2.3078548908233643
4191963.429416146,0.03843092918395996,0.01,0.0001,2.3078548908233643
4185815.049321055,0.04595804214477539,0.01,0.0001,2.3078548908233643
4163484.626520368,0.047926902770996094,0.01,0.0001,2.3078548908233643
4148572.3998639504,0.025684118270874023,0.01,0.0001,2.3078548908233643
4138334.4663499054,0.025171995162963867,0.01,0.0001,2.3078548908233643
4118253.264152928,0.02862715721130371,0.01,0.0001,2.3078548908233643
4114268.3844758654,0.025540828704833984,0.01,0.0001,2.3078548908233643
4103108.691621859,0.023908138275146484,0.01,0.0001,2.3078548908233643
4093510.1085016644,0.025828838348388672,0.01,0.0001,2.3078548908233643
4038348.333074932,0.02638697624206543,0.01,0.0001,2.3078548908233643
4034516.3732155864,0.02325916290283203,0.01,0.0001,2.3078548908233643
4028554.270183024,0.02432990074157715,0.01,0.0001,2.3078548908233643
3998699.4188530054,0.025068044662475586,0.01,0.0001,2.3078548908233643
3992747.5910219355,0.02526998519897461,0.01,0.0001,2.3078548908233643
3947342.0002674637,0.026807069778442383,0.01,0.0001,2.3078548908233643
3928834.580505829,0.027564048767089844,0.01,0.0001,2.3078548908233643
3924276.982337201,0.026752948760986328,0.01,0.0001,2.3078548908233643
3914488.0657742964,0.027812957763671875,0.01,0.0001,2.3078548908233643
3910523.97478273,0.02620697021484375,0.01,0.0001,2.3078548908233643
3909389.2651693714,0.03317117691040039,0.01,0.0001,2.3078548908233643
3900110.388787761,0.04082179069519043,0.01,0.0001,2.3078548908233643
3889427.7997207846,0.025799989700317383,0.01,0.0001,2.3078548908233643
3889074.302377592,0.026539087295532227,0.01,0.0001,2.3078548908233643
3887447.0252474556,0.024893999099731445,0.01,0.0001,2.3078548908233643
3882129.6339439647,0.025520801544189453,0.01,0.0001,2.3078548908233643
3879996.763096905,0.026009082794189453,0.01,0.0001,2.3078548908233643
3874953.667338604,0.02384781837463379,0.01,0.0001,2.3078548908233643
3873898.671815122,0.020545005798339844,0.01,0.0001,2.3078548908233643
3871032.5825297097,0.024554014205932617,0.01,0.0001,2.3078548908233643
3869338.1880172472,0.025547027587890625,0.01,0.0001,2.3078548908233643
3867222.432153927,0.027035951614379883,0.01,0.0001,2.3078548908233643
3861634.424011406,0.025475263595581055,0.01,0.0001,2.3078548908233643
3861175.5174048087,0.026561975479125977,0.01,0.0001,2.3078548908233643
3857082.530393992,0.025633811950683594,0.01,0.0001,2.3078548908233643
3852390.731818296,0.02760004997253418,0.01,0.0001,2.3078548908233643
3848820.976073145,0.0326380729675293,0.01,0.0001,2.3078548908233643
3846245.136569694,0.025372982025146484,0.01,0.0001,2.3078548908233643
3843249.130146401,0.030333995819091797,0.01,0.0001,2.3078548908233643
3839523.807224713,0.02518916130065918,0.01,0.0001,2.3078548908233643
3838617.866050619,0.030961990356445312,0.01,0.0001,2.3078548908233643
3836853.78789856,0.031271934509277344,0.01,0.0001,2.3078548908233643
3819743.703605579,0.03153634071350098,0.01,0.0001,2.3078548908233643
3815406.452846966,0.025249004364013672,0.01,0.0001,2.3078548908233643
3814939.554493491,0.025854825973510742,0.01,0.0001,2.3078548908233643
3809645.9445595313,0.025018692016601562,0.01,0.0001,2.3078548908233643
3804740.2961028134,0.025433063507080078,0.01,0.0001,2.3078548908233643
3801061.5664265915,0.024122953414916992,0.01,0.0001,2.3078548908233643
3798911.0542185656,0.025477170944213867,0.01,0.0001,2.3078548908233643
3793342.6834240463,0.026890039443969727,0.01,0.0001,2.3078548908233643
3782815.6698514074,0.02540898323059082,0.01,0.0001,2.3078548908233643
3778310.645811435,0.024003982543945312,0.01,0.0001,2.3078548908233643
3776312.63186184,0.02626204490661621,0.01,0.0001,2.3078548908233643
3766742.0293566887,0.027944087982177734,0.01,0.0001,2.3078548908233643
3764789.5783972624,0.025450944900512695,0.01,0.0001,2.3078548908233643
3759761.281838891,0.024602174758911133,0.01,0.0001,2.3078548908233643
3759314.248887403,0.02492499351501465,0.01,0.0001,2.3078548908233643
3756618.7074863072,0.027534961700439453,0.01,0.0001,2.3078548908233643
3755983.6315458342,0.02643609046936035,0.01,0.0001,2.3078548908233643
3752890.811973826,0.025407791137695312,0.01,0.0001,2.3078548908233643
3752149.6041000145,0.028046131134033203,0.01,0.0001,2.3078548908233643
3749560.3485926352,0.029263734817504883,0.01,0.0001,2.3078548908233643
3733878.5966604277,0.025857210159301758,0.01,0.0001,2.3078548908233643
3725796.547099288,0.02506089210510254,0.01,0.0001,2.3078548908233643
3723241.061280435,0.02387714385986328,0.01,0.0001,2.3078548908233643
3720493.072123329,0.025495052337646484,0.01,0.0001,2.3078548908233643
3719065.4803704885,0.02547001838684082,0.01,0.0001,2.3078548908233643
3718287.250689896,0.025188922882080078,0.01,0.0001,2.3078548908233643
3709168.153402711,0.026304006576538086,0.01,0.0001,2.3078548908233643
3708915.3525339835,0.027550935745239258,0.01,0.0001,2.3078548908233643
3693446.247188732,0.026463985443115234,0.01,0.0001,2.3078548908233643
3566320.308393473,0.03046703338623047,0.01,0.0001,2.3078548908233643
3494590.9918453707,0.027723073959350586,0.01,0.0001,2.3078548908233643
3401037.23799694,0.02835392951965332,0.01,0.0001,2.3078548908233643
3316910.2568962835,0.049050092697143555,0.01,0.0001,2.3078548908233643
3228282.4512903225,0.034095048904418945,0.01,0.0001,2.3078548908233643
3144233.1133026113,0.02690291404724121,0.01,0.0001,2.3078548908233643
3072923.314176606,0.025736093521118164,0.01,0.0001,2.3078548908233643
2990069.457316313,0.024693965911865234,0.01,0.0001,2.3078548908233643
2899634.1597716915,0.025510072708129883,0.01,0.0001,2.3078548908233643
2835704.5643557105,0.029695987701416016,0.01,0.0001,2.3078548908233643
1172632.9063487705,0.061800241470336914,0.01,0.0001,2.3078548908233643
540626.385787703,0.05580902099609375,0.01,0.0001,2.3078548908233643
252505.81868637938,0.08111691474914551,0.01,0.0001,2.3078548908233643
133248.31613475794,0.05422711372375488,0.01,0.0001,2.3078548908233643
133465.23920142243,0.02704596519470215,0.01,0.0001,2.3078548908233643
133238.50882042912,0.03235197067260742,0.01,0.0001,2.3078548908233643
132967.0720169744,0.021783113479614258,0.01,0.0001,2.3078548908233643
132818.44919027554,0.031861066818237305,0.01,0.0001,2.3078548908233643
132826.43726836165,0.02787613868713379,0.01,0.0001,2.3078548908233643
132863.66642546342,0.029087066650390625,0.01,0.0001,2.3078548908233643
132877.26898038233,0.02843499183654785,0.01,0.0001,2.3078548908233643
132095.45001153884,0.026950836181640625,0.01,0.0001,2.3078548908233643
131989.14018502153,0.025914907455444336,0.01,0.0001,2.3078548908233643
131942.03915053917,0.024068117141723633,0.01,0.0001,2.3078548908233643
132003.63967690582,0.02552008628845215,0.01,0.0001,2.3078548908233643
131974.07087514453,0.026411771774291992,0.01,0.0001,2.3078548908233643
131608.73617872805,0.026061058044433594,0.01,0.0001,2.3078548908233643
131520.21927972476,0.025707006454467773,0.01,0.0001,2.3078548908233643
131545.73275440015,0.02811908721923828,0.01,0.0001,2.3078548908233643
131444.90438904817,0.025439977645874023,0.01,0.0001,2.3078548908233643
131271.7287399941,0.025699853897094727,0.01,0.0001,2.3078548908233643
131140.29833442747,0.030138015747070312,0.01,0.0001,2.3078548908233643
130430.37269438112,0.027373075485229492,0.01,0.0001,2.3078548908233643
129833.6260839277,0.02698969841003418,0.01,0.0001,2.3078548908233643
130035.38660220118,0.0382080078125,0.01,0.0001,2.3078548908233643
130014.91304561669,0.028373003005981445,0.01,0.0001,2.3078548908233643
129643.67853363378,0.024000883102416992,0.01,0.0001,2.3078548908233643
129441.52776723316,0.038069963455200195,0.01,0.0001,2.3078548908233643
129492.21908146908,0.03334999084472656,0.01,0.0001,2.3078548908233643
129522.71970993224,0.030633926391601562,0.01,0.0001,2.3078548908233643
129505.4619885309,0.032105207443237305,0.01,0.0001,2.3078548908233643
129395.55870363348,0.01947188377380371,0.01,0.0001,2.3078548908233643
129396.76837132378,0.028113842010498047,0.01,0.0001,2.3078548908233643
129292.7066425795,0.029282093048095703,0.01,0.0001,2.3078548908233643
129308.61896822644,0.025748014450073242,0.01,0.0001,2.3078548908233643
129056.26854528968,0.024827003479003906,0.01,0.0001,2.3078548908233643
128834.33110428163,0.042098283767700195,0.01,0.0001,2.3078548908233643
128715.91566353473,0.027432918548583984,0.01,0.0001,2.3078548908233643
128588.04796856057,0.03029608726501465,0.01,0.0001,2.3078548908233643
128289.68741209304,0.025881052017211914,0.01,0.0001,2.3078548908233643
128162.9416485423,0.026215791702270508,0.01,0.0001,2.3078548908233643
128030.08812537126,0.025377988815307617,0.01,0.0001,2.3078548908233643
128152.96168046915,0.025467872619628906,0.01,0.0001,2.3078548908233643
127893.56815235798,0.02673816680908203,0.01,0.0001,2.3078548908233643
127960.48766947378,0.02712392807006836,0.01,0.0001,2.3078548908233643
127655.34274697822,0.031017065048217773,0.01,0.0001,2.3078548908233643
127359.58089601355,0.02706003189086914,0.01,0.0001,2.3078548908233643
127429.89051913243,0.027814865112304688,0.01,0.0001,2.3078548908233643
126878.07505979572,0.028439998626708984,0.01,0.0001,2.3078548908233643
126932.1509905948,0.027280092239379883,0.01,0.0001,2.3078548908233643
126171.12874582392,0.028776884078979492,0.01,0.0001,2.3078548908233643
125948.08084161274,0.026365280151367188,0.01,0.0001,2.3078548908233643
125976.7783391826,0.0247800350189209,0.01,0.0001,2.3078548908233643
125683.66926943288,0.02597808837890625,0.01,0.0001,2.3078548908233643
125474.43519093537,0.024797916412353516,0.01,0.0001,2.3078548908233643
125468.77374103066,0.02981710433959961,0.01,0.0001,2.3078548908233643
125252.00548959097,0.027638912200927734,0.01,0.0001,2.3078548908233643
125159.27153609281,0.027750730514526367,0.01,0.0001,2.3078548908233643
125164.80839070943,0.02710723876953125,0.01,0.0001,2.3078548908233643
125176.19351630504,0.026816129684448242,0.01,0.0001,2.3078548908233643
125119.95988868065,0.028137922286987305,0.01,0.0001,2.3078548908233643
125070.89157842162,0.02627086639404297,0.01,0.0001,2.3078548908233643
125034.70934717107,0.028283119201660156,0.01,0.0001,2.3078548908233643
