losses,time_itr,lambda_,step_size,preprocess_time
4613046.334580162,0.08702993392944336,0.01,0.0001,70.59712409973145
4043030.360650199,0.029867172241210938,0.01,0.0001,70.59712409973145
3512245.7016928736,0.014795780181884766,0.01,0.0001,70.59712409973145
3020880.518075041,0.011483907699584961,0.01,0.0001,70.59712409973145
2572487.2541621025,0.007082939147949219,0.01,0.0001,70.59712409973145
2169728.4590755035,0.011590957641601562,0.01,0.0001,70.59712409973145
1814510.6791928113,0.007787942886352539,0.01,0.0001,70.59712409973145
1507187.209246483,0.0068378448486328125,0.01,0.0001,70.59712409973145
1246279.8827810101,0.006324052810668945,0.01,0.0001,70.59712409973145
1028581.9306124012,0.006541013717651367,0.01,0.0001,70.59712409973145
849547.9971791272,0.0059947967529296875,0.01,0.0001,70.59712409973145
703866.0387236162,0.006627082824707031,0.01,0.0001,70.59712409973145
586043.5757842084,0.00980997085571289,0.01,0.0001,70.59712409973145
490877.8945602003,0.041371822357177734,0.01,0.0001,70.59712409973145
413762.47748621675,0.04391884803771973,0.01,0.0001,70.59712409973145
350838.5107753206,0.014692068099975586,0.01,0.0001,70.59712409973145
299021.7597879979,0.019512176513671875,0.01,0.0001,70.59712409973145
255940.17818228257,0.019342660903930664,0.01,0.0001,70.59712409973145
219818.34627166542,0.016605138778686523,0.01,0.0001,70.59712409973145
189342.33902068343,0.016788005828857422,0.01,0.0001,70.59712409973145
163531.48844981755,0.008611917495727539,0.01,0.0001,70.59712409973145
141633.02961092902,0.011052846908569336,0.01,0.0001,70.59712409973145
123045.21117478126,0.028525829315185547,0.01,0.0001,70.59712409973145
107266.92360391938,0.03153491020202637,0.01,0.0001,70.59712409973145
93868.06110389791,0.02315688133239746,0.01,0.0001,70.59712409973145
82473.9291705087,0.03058600425720215,0.01,0.0001,70.59712409973145
72757.80577419908,0.027935266494750977,0.01,0.0001,70.59712409973145
64437.27523330487,0.023327112197875977,0.01,0.0001,70.59712409973145
57271.58197128172,0.017256975173950195,0.01,0.0001,70.59712409973145
51058.660657711516,0.020550251007080078,0.01,0.0001,70.59712409973145
45631.50614583629,0.019481897354125977,0.01,0.0001,70.59712409973145
40854.094071954874,0.014741897583007812,0.01,0.0001,70.59712409973145
36617.215603253506,0.01820683479309082,0.01,0.0001,70.59712409973145
32834.4967664929,0.012133121490478516,0.01,0.0001,70.59712409973145
29438.70141228349,0.014233112335205078,0.01,0.0001,70.59712409973145
